Entity,Code,Year,Indicator
United States,USA,1975,41
United States,USA,1976,41.6
United States,USA,1977,42.2
United States,USA,1978,42.8
United States,USA,1979,43.4
United States,USA,1980,44
United States,USA,1981,44.7
United States,USA,1982,45.3
United States,USA,1983,46
United States,USA,1984,46.7
United States,USA,1985,47.4
United States,USA,1986,48.1
United States,USA,1987,48.8
United States,USA,1988,49.5
United States,USA,1989,50.2
United States,USA,1990,50.9
United States,USA,1991,51.7
United States,USA,1992,52.4
United States,USA,1993,53.2
United States,USA,1994,54
United States,USA,1995,54.8
United States,USA,1996,55.6
United States,USA,1997,56.3
United States,USA,1998,57.1
United States,USA,1999,57.9
United States,USA,2000,58.6
United States,USA,2001,59.3
United States,USA,2002,60
United States,USA,2003,60.7
United States,USA,2004,61.3
United States,USA,2005,61.9
United States,USA,2006,62.5
United States,USA,2007,63.1
United States,USA,2008,63.7
United States,USA,2009,64.2
United States,USA,2010,64.8
United States,USA,2011,65.3
United States,USA,2012,65.8
United States,USA,2013,66.4
United States,USA,2014,66.9
United States,USA,2015,67.4
United States,USA,2016,67.9
